Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,weight,lysate_vol,dilution,rep,ChanStr
sybr,50,191,0.05305555555555556,B1,6947,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B2,6209,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,2,sybr50487528
sybr,50,191,0.05305555555555556,B3,6313,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,2,sybr50487528
sybr,50,191,0.05305555555555556,B4,6830,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B5,6283,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,2,sybr50487528
sybr,50,191,0.05305555555555556,B6,6043,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,2,sybr50487528
sybr,50,191,0.05305555555555556,B7,7120,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B8,6218,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,2,sybr50487528
sybr,50,191,0.05305555555555556,B9,6200,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,2,sybr50487528
sybr,50,191,0.05305555555555556,B10,6933,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B11,6073,AFU,487,528,JS006,1,0,0,0,1,190,570,50,2,sybr50487528
sybr,50,191,0.05305555555555556,B12,6002,AFU,487,528,JS006,1,0,0,0,1,190,570,250,2,sybr50487528
sybr,50,191,0.05305555555555556,C1,6931,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C2,6109,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,3,sybr50487528
sybr,50,191,0.05305555555555556,C3,5718,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,3,sybr50487528
sybr,50,191,0.05305555555555556,C4,6867,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C5,6097,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,3,sybr50487528
sybr,50,191,0.05305555555555556,C6,5823,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,3,sybr50487528
sybr,50,191,0.05305555555555556,C7,7016,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C8,6186,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,3,sybr50487528
sybr,50,191,0.05305555555555556,C9,6093,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,3,sybr50487528
sybr,50,191,0.05305555555555556,C10,6915,AFU,487,528,JS006,1,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C11,6141,AFU,487,528,JS006,1,0,0,0,1,190,570,50,3,sybr50487528
sybr,50,191,0.05305555555555556,C12,5716,AFU,487,528,JS006,1,0,0,0,1,190,570,250,3,sybr50487528
sybr,50,251,0.06972222222222223,A1,6906,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A2,5989,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,1,sybr50487528
sybr,50,251,0.06972222222222223,A3,6020,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,1,sybr50487528
sybr,50,251,0.06972222222222223,A4,6606,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A5,5996,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,1,sybr50487528
sybr,50,251,0.06972222222222223,A6,6169,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,1,sybr50487528
sybr,50,251,0.06972222222222223,A7,6981,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A8,6220,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,1,sybr50487528
sybr,50,251,0.06972222222222223,A9,6245,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,1,sybr50487528
sybr,50,251,0.06972222222222223,A10,6887,AFU,487,528,JS006,1,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A11,6034,AFU,487,528,JS006,1,0,0,0,1,190,570,50,1,sybr50487528
sybr,50,251,0.06972222222222223,A12,5875,AFU,487,528,JS006,1,0,0,0,1,190,570,250,1,sybr50487528
sybr,50,251,0.06972222222222223,B1,6869,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B2,6110,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,2,sybr50487528
sybr,50,251,0.06972222222222223,B3,6276,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,2,sybr50487528
sybr,50,251,0.06972222222222223,B4,6727,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B5,6233,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,2,sybr50487528
sybr,50,251,0.06972222222222223,B6,5999,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,2,sybr50487528
sybr,50,251,0.06972222222222223,B7,7080,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B8,6165,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,2,sybr50487528
sybr,50,251,0.06972222222222223,B9,6200,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,2,sybr50487528
sybr,50,251,0.06972222222222223,B10,6926,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B11,5988,AFU,487,528,JS006,1,0,0,0,1,190,570,50,2,sybr50487528
sybr,50,251,0.06972222222222223,B12,5838,AFU,487,528,JS006,1,0,0,0,1,190,570,250,2,sybr50487528
sybr,50,251,0.06972222222222223,C1,6834,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C2,6021,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,3,sybr50487528
sybr,50,251,0.06972222222222223,C3,5572,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,3,sybr50487528
sybr,50,251,0.06972222222222223,C4,6759,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C5,5984,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,3,sybr50487528
sybr,50,251,0.06972222222222223,C6,5727,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,3,sybr50487528
sybr,50,251,0.06972222222222223,C7,7001,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C8,6092,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,3,sybr50487528
sybr,50,251,0.06972222222222223,C9,6063,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,3,sybr50487528
sybr,50,251,0.06972222222222223,C10,6933,AFU,487,528,JS006,1,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C11,6108,AFU,487,528,JS006,1,0,0,0,1,190,570,50,3,sybr50487528
