Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,kan,carb,spent_media,percent,rep,ChanStr
sfGFP,61,2918,0.8105555555555556,C5,149,AFU,485,515,naive HCK,+,+,carb,1,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,C6,162,AFU,485,515,naive HCK,+,+,carb,1,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,D1,166,AFU,485,515,naive HCA,+,+,kan,2,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,D2,170,AFU,485,515,naive HCA,+,+,kan,2,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,D3,161,AFU,485,515,naive HCA,+,+,kan,2,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,D4,175,AFU,485,515,naive HCK,+,+,carb,2,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,D5,171,AFU,485,515,naive HCK,+,+,carb,2,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,D6,163,AFU,485,515,naive HCK,+,+,carb,2,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,E1,170,AFU,485,515,naive HCA,+,+,kan,5,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,E2,161,AFU,485,515,naive HCA,+,+,kan,5,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,E3,167,AFU,485,515,naive HCA,+,+,kan,5,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,E4,160,AFU,485,515,naive HCK,+,+,carb,5,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,E5,159,AFU,485,515,naive HCK,+,+,carb,5,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,E6,160,AFU,485,515,naive HCK,+,+,carb,5,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,F1,177,AFU,485,515,naive HCA,+,+,kan,10,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,F2,176,AFU,485,515,naive HCA,+,+,kan,10,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,F3,169,AFU,485,515,naive HCA,+,+,kan,10,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,F4,158,AFU,485,515,naive HCK,+,+,carb,10,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,F5,165,AFU,485,515,naive HCK,+,+,carb,10,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,F6,171,AFU,485,515,naive HCK,+,+,carb,10,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,G1,180,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,G2,177,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,2,sfGFP61485515
