row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,read
K,1.331,1.394,1.053,1.348,1.384,1.38,1.198,1.216,1.19,1.186,1.293,1.194,1.314,1.242,1.322,1.233,1.181,1.229,0.223,1.043,0.605,1.072,0.316,1.141,OD700_2:700
L,20000,21512,18992,21578,21390,21652,21727,18186,21359,17953,23383,18117,21376,21355,21750,21552,18061,20671,322,6010,6850,7573,317,10602,"sfGFP_1:485,515"
L,173,49,122,45,150,46,13,15,13,11,18,17,92,31,105,28,71,37,15,8,5,8,10,10,"mScarlet_1_1:565,595"
L,5148,1482,3521,1316,4356,1359,304,393,331,357,487,412,2627,934,2993,949,2151,1011,471,212,209,215,316,235,"mScarlet_2_1:565,595"
L,1.298,1.369,1.005,1.337,1.339,1.363,1.191,1.061,1.211,1.049,1.258,1.091,1.271,1.21,1.28,1.224,1.045,1.218,0.193,0.556,0.57,0.615,0.108,0.715,OD700_1:700
L,19981,21500,18934,21643,21352,21540,21763,18278,21291,17872,23385,18186,21309,21281,21828,21472,18160,20717,327,6157,7021,7734,321,10701,"sfGFP_2:485,515"
L,173,50,116,42,144,48,15,14,10,8,14,10,90,34,100,31,74,32,21,10,11,7,7,4,"mScarlet_1_2:565,595"
L,5070,1471,3360,1274,4253,1307,292,383,324,349,467,401,2588,932,2926,952,2148,980,509,206,206,211,332,234,"mScarlet_2_2:565,595"
L,1.288,1.36,1.03,1.324,1.329,1.346,1.188,1.072,1.205,1.049,1.26,1.089,1.253,1.201,1.27,1.215,1.043,1.208,0.21,0.555,0.572,0.612,0.119,0.711,OD700_2:700
M,339,349,304,327,353,332,683,422,654,429,674,442,410,416,419,414,549,432,495,439,564,450,500,484,"sfGFP_1:485,515"
M,711,638,496,645,703,657,5866,2509,5296,1929,5009,2004,638,440,609,471,569,471,5744,1233,6059,1258,5917,1299,"mScarlet_1_1:565,595"
M,20472,18620,14252,18751,20323,18959,OVRFLW,72480,OVRFLW,56168,OVRFLW,58033,18535,12855,17706,13829,16357,13815,OVRFLW,36089,OVRFLW,36396,OVRFLW,37817,"mScarlet_2_1:565,595"
M,1.494,1.493,1.066,1.457,1.51,1.47,1.392,1.473,1.386,1.462,1.364,1.46,1.466,1.422,1.476,1.436,1.416,1.422,1.466,1.401,1.446,1.428,1.466,1.432,OD700_1:700
M,330,338,296,323,348,328,674,411,643,420,667,433,408,407,416,405,540,426,480,435,553,442,479,473,"sfGFP_2:485,515"
M,684,613,472,625,673,625,5728,2437,5209,1906,4937,1983,619,434,594,465,553,463,5574,1226,5835,1238,5652,1293,"mScarlet_1_2:565,595"
M,20007,17970,13684,18159,19601,18233,OVRFLW,70379,OVRFLW,55901,OVRFLW,58076,17972,12620,17287,13551,16011,13583,OVRFLW,36008,OVRFLW,36429,OVRFLW,37732,"mScarlet_2_2:565,595"
M,1.487,1.488,1.066,1.446,1.504,1.46,1.387,1.467,1.375,1.458,1.356,1.461,1.467,1.416,1.48,1.43,1.419,1.421,1.468,1.391,1.431,1.419,1.464,1.428,OD700_2:700
N,11682,11215,27370,12565,16532,13606,8461,19646,9497,20411,9772,20757,17836,12787,15673,11649,13912,11508,8405,18033,15232,17856,13138,17437,"sfGFP_1:485,515"
N,616,449,373,481,515,466,67,624,54,560,61,582,515,316,515,319,525,368,74,341,110,438,134,465,"mScarlet_1_1:565,595"
N,18053,13046,10750,13833,15093,13472,1945,18246,1535,16321,1886,17022,15016,9125,14989,9306,15345,10611,2163,9953,3301,12680,3919,13647,"mScarlet_2_1:565,595"
N,1.391,1.404,0.956,1.423,1.348,1.432,0.336,1.272,0.334,1.251,0.377,1.258,1.29,1.271,1.298,1.247,1.235,1.326,0.377,1.144,0.535,1.187,0.498,1.247,OD700_1:700
N,11709,11122,27378,12498,16502,13558,8429,19571,9285,20315,9779,20339,17890,12778,15588,11576,13926,11422,8487,18084,15557,17773,13250,17308,"sfGFP_2:485,515"
N,603,437,354,458,504,452,69,625,51,557,62,577,506,304,505,318,513,362,74,341,119,442,135,470,"mScarlet_1_2:565,595"
N,17794,12675,10339,13415,14806,13147,1996,18358,1523,16325,1886,17008,14763,9014,14792,9308,15116,10570,2192,10086,3276,12933,3932,13924,"mScarlet_2_2:565,595"
N,1.383,1.4,0.989,1.415,1.33,1.427,0.345,1.262,0.341,1.244,0.398,1.246,1.273,1.263,1.291,1.247,1.213,1.313,0.386,1.135,0.534,1.179,0.503,1.24,OD700_2:700
O,16247,17470,32054,19604,22699,20363,8562,20507,8997,20108,10370,20277,24870,21603,23477,19659,20257,18102,761,16290,3345,17756,2061,18811,"sfGFP_1:485,515"
O,549,307,339,295,511,301,18,150,18,120,19,138,535,310,544,276,578,277,5,44,11,80,8,97,"mScarlet_1_1:565,595"
O,16008,9018,9788,8605,14751,8744,517,4338,463,3446,680,3880,15378,9006,15928,8077,16838,7999,219,1211,331,2343,288,2740,"mScarlet_2_1:565,595"
O,1.314,1.335,0.957,1.329,1.273,1.328,0.301,1.034,0.315,1.002,0.362,0.998,1.212,1.279,1.219,1.236,1.064,1.221,0.087,0.712,0.194,0.842,0.16,0.916,OD700_1:700
O,16260,17336,31608,19493,22607,20057,8350,20524,8742,20172,10027,20282,24913,21450,23379,19413,20183,17885,775,16462,3424,17783,2144,18786,"sfGFP_2:485,515"
O,544,300,320,295,495,294,18,146,17,117,22,137,518,304,537,274,564,268,6,42,13,77,9,90,"mScarlet_1_2:565,595"
O,15904,8898,9412,8481,14547,8570,500,4368,442,3452,646,3915,15359,8921,15685,8050,16414,7964,221,1219,322,2330,288,2725,"mScarlet_2_2:565,595"
O,1.307,1.326,0.953,1.315,1.272,1.307,0.301,1.027,0.314,0.988,0.364,0.987,1.2,1.272,1.21,1.23,1.056,1.21,0.088,0.723,0.196,0.841,0.165,0.917,OD700_2:700
P,18789,23642,31011,23718,24471,24027,8092,9499,9029,8496,10054,9525,27091,27304,25318,26614,18932,25984,308,2627,1155,4363,388,5125,"sfGFP_1:485,515"
P,488,184,255,172,413,171,11,20,12,17,20,19,416,183,453,181,324,185,5,9,4,16,4,12,"mScarlet_1_1:565,595"
P,14243,5335,7373,5136,11942,4980,369,527,398,502,590,563,12087,5370,13274,5317,9414,5468,136,217,152,455,128,252,"mScarlet_2_1:565,595"
P,1.213,1.28,0.856,1.25,1.113,1.23,0.298,0.481,0.33,0.472,0.383,0.507,1.048,1.133,1.038,1.131,0.822,1.14,0.048,0.172,0.081,0.239,0.055,0.252,OD700_1:700
P,18893,23384,30512,23536,24309,23944,8111,9616,8925,8650,10056,9644,26978,27041,25277,26522,19039,25758,309,2695,1155,4458,389,5168,"sfGFP_2:485,515"
P,483,179,239,172,406,167,11,20,10,16,18,18,404,179,444,179,315,183,4,9,4,15,6,7,"mScarlet_1_2:565,595"
P,14257,5318,7171,5147,11885,5008,369,530,384,500,558,566,11798,5351,13016,5237,9337,5425,136,214,148,470,133,259,"mScarlet_2_2:565,595"
P,1.206,1.268,0.851,1.248,1.134,1.228,0.301,0.482,0.325,0.476,0.388,0.512,1.04,1.129,1.037,1.134,0.819,1.132,0.048,0.176,0.081,0.242,0.056,0.255,OD700_2:700
