Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,cole1,carb,sal,rep,ChanStr
sfGFP,61,1644,0.45666666666666667,C12,98,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D1,116,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D2,105,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D3,115,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D4,106,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D5,124,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D6,112,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D7,110,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D8,114,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D9,119,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D10,118,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D11,112,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,D12,110,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,E1,120,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,E2,106,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,0,2,sfGFP61485515
