channel,mode,excitation,emission,num_flashes,gain,time_sec,time_h,well,measurement,strain,chlor,sal,iptg,rep
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C2,132.0,diff1X,-,20,10,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C3,130.0,diff1X,-,20,10,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C4,138.0,diff2X,-,20,10,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C5,123.0,diff2X,-,20,10,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C6,122.0,diff2X,-,20,10,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C7,121.0,diff1X,-,20,50,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C8,124.0,diff1X,-,20,50,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C9,126.0,diff1X,-,20,50,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C10,131.0,diff2X,-,20,50,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C11,131.0,diff2X,-,20,50,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C12,138.0,diff2X,-,20,50,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D1,152.0,diff1X,-,30,10,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D2,161.0,diff1X,-,30,10,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D3,146.0,diff1X,-,30,10,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D4,128.0,diff2X,-,30,10,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D5,122.0,diff2X,-,30,10,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D6,118.0,diff2X,-,30,10,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D7,129.0,diff1X,-,30,50,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D8,124.0,diff1X,-,30,50,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D9,128.0,diff1X,-,30,50,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D10,133.0,diff2X,-,30,50,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D11,150.0,diff2X,-,30,50,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,D12,150.0,diff2X,-,30,50,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,E1,121.0,diff1X,+,0,10,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,E2,117.0,diff1X,+,0,10,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,E3,122.0,diff1X,+,0,10,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,E4,123.0,diff2X,+,0,10,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,E5,122.0,diff2X,+,0,10,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,E6,120.0,diff2X,+,0,10,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,E7,117.0,diff1X,+,0,50,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,E8,118.0,diff1X,+,0,50,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,E9,118.0,diff1X,+,0,50,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,E10,119.0,diff2X,+,0,50,1
